beta,bookValue,debtToEquity,dividendRate,dividendYield,earningsGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,grossMargins,heldPercentInsiders,heldPercentInstitutions,operatingMargins,payoutRatio,priceToBook,profitMargins,revenueGrowth,sharesOutstanding,trailingEps,PE,ROE,ROCE,log_return
0.635,99.539,34.942,1.0,0.0011,-0.604,5050289664.0,0.12625,41.187,5.2,0.47168,0.72642,0.19108,0.07714,0.081099994,9.089402,0.06847,0.128,222172992.0,12.31,66.0,15.4,19.1,0.347216016367712
0.652,163.45,7.763,5.0,0.0092,-0.281,12008080384.0,0.12997,16.939,2.202,0.45376998,0.66541,0.23042999,0.12055001,0.234,3.3037627,0.107329994,-0.012,379361984.0,21.38,35.3,11.9,15.0,0.130105338
0.144,270.355,7.755,6.0,0.0043,-0.765,1977978752.0,0.10727,17.42,1.869,0.36879003,0.73172,0.06382,0.08834,0.0625,5.137689,0.071339995,0.066,27300100.0,47.97,45.8,20.0,24.5,0.086641969
0.682,137.883,24.515,2.25,0.0068,-0.177,1652355200.0,0.11281,11.08,1.25,0.2156,0.78723,0.00145,0.08451,0.0467,2.4078386,0.07564,0.378,49725600.0,21.44,15.5,17.4,20.2,0.4611408723067782
1.21,39.309,49.91,0.1,0.0012,-0.577,3618725120.0,0.13911,8.453,1.176,0.24154,0.67564005,0.00473,0.0438,0.0376,2.069755,0.03243,-0.111,332240992.0,2.66,33.0,11.0,14.0,-0.085443642
0.29,208.866,2.201,10.0,0.0124,-0.178,839329984.0,0.22472,14.792,3.324,0.55985,0.5794,0.02911,0.16525999,0.27969998,3.868509,0.13838,0.17,15994200.0,32.15,22.4,17.5,23.8,-0.106794435
0.578,513.342,77.777,3.0,0.0039,1.223,2033900032.0,0.077649996,13.042,1.013,0.33756,0.49144,0.0177,0.063200004,0.16610001,1.4980267,0.030250002,0.049,25901400.0,30.11,44.0,3.13,5.92,0.3402252826777054
1.382,362.267,48.775,5.0,0.0094,-0.108,4675700224.0,0.15453,11.161,1.725,0.28086,0.83107,0.00436,0.088920005,0.18270001,1.4740509,0.087869994,0.152,80939296.0,32.85,15.9,8.51,9.84,0.3907782589093607
0.502,208.291,1.424,5.0,0.0082,-0.211,2206749952.0,0.14212,14.421,2.049,0.34283,0.77397,0.0092,0.10812,0.118599996,2.9509196,0.12015,0.007,59004000.0,31.61,51.4,10.1,13.0,0.0136884214623425
0.47,418.238,32.989,10.2,0.01,0.771,10409700352.0,0.09155,16.695,1.528,0.30224,0.76761,0.09327,0.056149997,0.24149999,2.4459758,0.043169998,0.035,154578000.0,31.46,33.9,6.22,8.59,0.1003547325636784
0.36,514.168,72.34,3.0,0.0048,-0.802,799557760.0,0.10257,14.507,1.488,0.4926,0.62539,0.055219997,0.025050001,0.2027,1.2031085,0.03326,-0.104,14007500.0,18.48,21.4,7.08,7.67,0.008176607
0.308,428.297,76.181,8.5,0.008,0.776,14667225088.0,0.16966999,11.54,1.958,0.35226002,0.46752,0.10802,0.16173,0.2391,2.4627771,0.061079998,-0.014,126238000.0,41.8,45.9,8.74,11.5,0.6758157234154769
